bin,referenceLeft_m,referenceRight_m,direction,samples,acquisition,signalEnergy,noiseEnergy,gate
124,1.23,1.24,1,134,2,36.9533253430983,0.00082169685306837,0.999977764421076
125,1.24,1.25,1,211,2,11.7268211816719,0.00194560691295768,0.999834116668186
126,0,0.01,-1,212,2,6.8585835125908,0.00113020034888691,0.999835240886693
127,0.01,0.02,-1,133,2,42.7949881312619,0.000688913831090003,0.999983902256521
128,0.02,0.03,-1,133,2,22.8247355050149,0.000399417817420142,0.999982500965766
129,0.03,0.04,-1,133,2,50.8203833682706,0.000452691617427886,0.999991092401217
130,0.04,0.05,-1,134,2,20.0153176081354,0.000615428216948334,0.999969253083739
131,0.05,0.06,-1,133,2,52.2566791565103,0.000816431483277503,0.999984376758318
132,0.06,0.07,-1,133,2,24.0016966704054,0.00031558027613141,0.999986851924212
133,0.07,0.08,-1,134,2,45.0470795588615,0.000678766901776154,0.999984932282382
134,0.08,0.09,-1,133,2,35.9794031055003,0.000515525197009078,0.999985671863177
135,0.09,0.1,-1,134,2,38.5646482441222,0.000794187804902251,0.999979406749805
136,0.1,0.11,-1,133,2,42.8467564898043,0.000775371609135899,0.999981903937626
137,0.11,0.12,-1,133,2,27.3462115203939,0.000419784497284023,0.999984649498777
138,0.12,0.13,-1,134,2,52.4435769715212,0.000753858287511846,0.99998562555236
139,0.13,0.14,-1,133,2,22.6620385114413,0.000975108473993559,0.999956973574197
140,0.14,0.15,-1,133,2,51.1603927184034,0.000791724163973855,0.9999845249055
141,0.15,0.16,-1,134,2,27.5247149890307,0.000471844691813959,0.999982857711569
142,0.16,0.17,-1,133,2,50.4312584250308,0.000850379527114655,0.999983138132684
143,0.17,0.18,-1,133,2,34.5768172152863,0.000827771713513979,0.999976060494755
144,0.18,0.19,-1,133,2,54.2450022217615,0.000775731812622328,0.999985699683148
145,0.19,0.2,-1,134,2,27.2224638329226,0.000719454312955684,0.99997357199908
146,0.2,0.21,-1,133,2,83.3362205960268,0.000548600341074587,0.999993417067324
147,0.21,0.22,-1,134,2,33.5268424356431,0.000472328446341728,0.999985912130164
148,0.22,0.23,-1,133,2,50.389931672742,0.000609303424542324,0.999987908376994
149,0.23,0.24,-1,133,2,25.7203882713715,0.000645706595022277,0.999974895776135
150,0.24,0.25,-1,134,2,54.8729333054112,0.000702761780488149,0.99998719308887
151,0.25,0.26,-1,133,2,26.5497005593776,0.000749986732725032,0.999971752391492
152,0.26,0.27,-1,133,2,93.2931683532916,0.000500029997882291,0.999994640257945
153,0.27,0.28,-1,134,2,32.1422163019001,0.000534022452685626,0.999983385912926
154,0.28,0.29,-1,133,2,56.1131587522979,0.000510717860540761,0.999990898512513
155,0.29,0.3,-1,133,2,24.0908939725392,0.00045575534232789,0.999981082199732
156,0.3,0.31,-1,134,2,61.0700921348246,0.000757669354353646,0.9999875936006
157,0.31,0.32,-1,133,2,25.4407228422448,0.000885423234398807,0.999965197827702
